name,position,cost,points
Chris Bassitt,P,9300.0,31.6
Dean Kremer,P,9000.0,28.51
Michael Lorenzen,P,8500.0,27.95
Brandon Pfaadt,P,7300.0,19.71
Reid Detmers,P,7100.0,26.37
Ken Waldichuk,P,6900.0,15.96
Pedro Avila,P,6700.0,19.44
Kyle Freeland,P,6000.0,19.84
Shohei Ohtani,OF,4300.0,15.08
Bryce Harper,1B/OF,4100.0,11.55
Corbin Carroll,OF,4000.0,13.0
Fernando Tatis Jr.,OF,4000.0,12.29
Davis Schneider,2B,3900.0,16.98
Anthony Santander,OF/1B,3800.0,10.92
Kyle Schwarber,OF,3700.0,12.08
Zack Gelof,2B,3600.0,12.44
Christian Walker,1B,3600.0,11.61
Juan Soto,OF,3600.0,11.8
Manny Machado,3B,3500.0,10.6
Vladimir Guerrero Jr.,1B,3500.0,10.45
Nick Castellanos,OF,3400.0,10.44
George Springer,OF,3400.0,10.31
Ketel Marte,2B,3400.0,11.14
Gunnar Henderson,3B/SS,3300.0,10.93
Cedric Mullins,OF,3300.0,11.0
Brandon Drury,1B/2B,3300.0,10.06
Ryan Mountcastle,1B,3300.0,10.5
Nolan Jones,OF/1B,3300.0,10.88
Bryson Stott,2B,3200.0,10.48
Ryan McMahon,2B/3B,3200.0,10.35
Charlie Blackmon,OF,3200.0,10.43
Alec Bohm,3B/1B,3200.0,10.45
Adley Rutschman,C,3100.0,10.16
Ryan Noda,1B,3100.0,9.55
Ha-Seong Kim,2B/3B/SS,3100.0,10.64
Esteury Ruiz,OF,3100.0,9.93
J.T. Realmuto,C,3000.0,9.94
Lourdes Gurriel Jr.,OF,3000.0,9.86
Nolan Schanuel,1B,2900.0,9.72
Xander Bogaerts,SS,2900.0,9.29
Brandon Belt,1B,2900.0,9.64
Brent Rooker,OF,2900.0,9.25
Ezequiel Tovar,SS,2900.0,9.16
Whit Merrifield,2B/OF,2900.0,9.82
Austin Hays,OF,2800.0,9.27
Tommy Pham,OF,2800.0,9.29
Brandon Marsh,OF,2800.0,9.03
Mickey Moniak,OF,2800.0,9.33
Luis Rengifo,2B/SS/OF,2800.0,8.28
Shea Langeliers,C,2700.0,7.6
Elias Díaz,C,2700.0,8.07
Geraldo Perdomo,SS/2B,2700.0,8.39
Daulton Varsho,OF,2700.0,8.07
Tony Kemp,2B/OF,2700.0,6.65
Jurickson Profar,OF,2700.0,8.21
Gary Sánchez,C,2600.0,9.4
Spencer Horwitz,1B,2600.0,10.93
Randal Grichuk,OF,2600.0,9.1
Logan O'Hoppe,C,2600.0,8.25
Hunter Goodman,C,2600.0,12.12
Seth Brown,OF,2600.0,7.52
Ryan O'Hearn,1B/OF,2600.0,8.51
Elehuris Montero,3B/1B,2500.0,7.33
Mike Moustakas,1B/3B,2500.0,7.51
Kyren Paris,SS,2500.0,6.05
Luis Campusano,C,2500.0,8.44
Johan Rojas,OF,2500.0,7.61
Jordan Diaz,2B,2500.0,6.46
Trent Grisham,OF,2500.0,7.98
Ramón Urías,3B/2B/1B,2500.0,7.65
Aaron Hicks,OF,2400.0,7.28
Kevin Kiermaier,OF,2400.0,7.45
Garrett Cooper,1B,2400.0,8.17
Jake Cave,OF,2400.0,6.4
Jordan Westburg,SS/3B,2400.0,7.8
Adam Frazier,2B/OF,2400.0,7.88
Brenton Doyle,OF,2400.0,6.77
Jake McCarthy,OF,2400.0,7.65
Brendan Rodgers,2B,2400.0,7.04
Michael Toglia,1B,2300.0,5.51
Jace Peterson,2B/3B,2300.0,6.37
Emmanuel Rivera,3B/1B,2300.0,7.04
Sean Bouchard,1B,2300.0,4.77
Alan Trejo,SS,2300.0,5.4
Gabriel Moreno,C,2300.0,7.36
Alejandro Kirk,C,2300.0,6.5
Carlos Pérez,C/1B,2300.0,5.25
Cavan Biggio,2B/1B,2300.0,6.55
Matt Thaiss,C,2300.0,6.6
Eduardo Escobar,3B/2B,2300.0,6.32
Jorge Mateo,SS,2300.0,7.6
Pavin Smith,1B/OF,2200.0,7.39
Nick Ahmed,SS,2200.0,4.93
Tyler Soderstrom,C,2200.0,4.37
Ernie Clement,2B/SS,2200.0,5.94
Aledmys Díaz,2B/SS/3B,2200.0,5.35
Alek Thomas,OF,2200.0,6.56
Edmundo Sosa,3B/SS,2200.0,6.14
Trey Cabbage,3B,2200.0,4.63
Matthew Batten,3B,2200.0,6.66
Nick Allen,SS,2200.0,4.67
Rodolfo Castro,2B/SS/3B,2100.0,5.15
Cody Thomas,OF,2100.0,3.69
Buddy Kennedy,3B,2100.0,3.67
Colton Cowser,OF,2100.0,5.38
Santiago Espinal,2B/3B/SS,2100.0,5.49
James McCann,C,2100.0,6.68
Garrett Stubbs,C,2100.0,5.12
José Azocar,OF,2100.0,4.18
Jonah Bride,3B,2100.0,3.82
Matt Carpenter,1B,2100.0,6.03
Cristian Pache,OF,2100.0,5.21
Ryan McKenna,OF,2100.0,3.9
Chad Wallach,C,2100.0,5.33
Evan Longoria,3B,2100.0,7.51
Harold Castro,1B/3B/OF,2000.0,4.75
Kevin Smith,SS,2000.0,5.03
Jared Walsh,1B,2000.0,3.98
Michael Stefanic,2B,2000.0,4.02
Rougned Odor,2B/3B/OF,2000.0,5.86
Rafael Marchán,C,2000.0,0.0
José Iglesias,2B/SS,2000.0,7.67
José Godoy,C,2000.0,2.21
Conner Capel,OF,2000.0,5.33
Tyler Heineman,C,2000.0,3.45
Nelson Cruz,OF,2000.0,6.33
Taylor Kohlwey,OF,2000.0,1.2
Weston Wilson,3B,2000.0,12.27
Cal Stevenson,OF,2000.0,2.03
Josh Lester,1B,2000.0,2.63
Joey Ortiz,SS,2000.0,3.38
Diego Castillo,SS/2B,2000.0,0.0
Preston Tucker,OF,2000.0,0.0
Coco Montes,2B,2000.0,3.61
Jose Herrera,C,2000.0,4.58
Connor Kaiser,SS,2000.0,0.0
Austin Nola,C,2000.0,3.68
Austin Wynns,C,2000.0,4.04
Ben Gamel,OF,2000.0,4.23
David Fletcher,SS,2000.0,4.5
Eguy Rosario,SS,2000.0,0.85
Anthony Bemboom,C,2000.0,1.71
Cole Tucker,OF/2B,2000.0,8.46
Chris Okey,C,2000.0,0.0
Kyle Lewis,OF,2000.0,3.83
Drew Ellis,3B,2000.0,6.48
Darick Hall,1B,2000.0,3.43
Mason McCoy,SS,2000.0,1.28
Manny Piña,C,2000.0,6.17
Nathan Lukes,OF,2000.0,1.99
Brandon Dixon,1B/OF,2000.0,4.92
Brett Phillips,OF,2000.0,2.32
Kody Clemens,1B,2000.0,5.58
Tyler Wade,OF/2B/SS,2000.0,4.48
Brett Sullivan,C,2000.0,3.58
Kevin Padlo,3B,2000.0,3.06
Livan Soto,SS,2000.0,5.34
Jordyn Adams,OF,2000.0,0.6
